Generation 	 BestPhrase 	 MaximumFitness 	 AverageFitness 	 GeneticDiversity 
1            TEalcRFxePfNyIswbi     0.111111             0.017778                  0.093333 
2            TSx vjOLYwotVWlgHz     0.166667             0.087778                  0.078889 
3            EIUIeEWLInotVWlgHz     0.222222             0.139167                  0.083056 
4            TcuDFcozvnWO SF Lf     0.277778             0.176111                  0.101667 
5            cQJcnwozInot QF Lf     0.333333             0.200556                  0.132778 
6            TSOsbTbrInot KR wx     0.388889             0.243611                  0.145278 
7            TEDbFcxrInot KR Zx     0.444444             0.280278                  0.164167 
8            TSxbnwozInot QF bp     0.500000             0.342500                  0.157500 
9            TpnbnwozInot QF bp     0.500000             0.384444                  0.115556 
10            TcVbnwozvnot QF bz     0.500000             0.422222                  0.077778 
11            TEDbFcxrInot QF bf     0.500000             0.437500                  0.062500 
12            TOJbnworInot KR bf     0.555556             0.444722                  0.110833 
13            TEVbYTbr not KR bt     0.555556             0.455000                  0.100556 
14            TcVDewor not KR bp     0.611111             0.471389                  0.139722 
15            TEDbewor not KR bp     0.666667             0.483611                  0.183056 
16            TEDbewor not KR bp     0.666667             0.501389                  0.165278 
17            TSnbewor not QF bp     0.666667             0.521667                  0.145000 
18            TEObewor not QF br     0.666667             0.549444                  0.117222 
19            TQxbewor not KR bN     0.666667             0.566389                  0.100278 
20            TcDbewor not QF bf     0.666667             0.578056                  0.088611 
21            TSnbewor not KR bp     0.666667             0.594722                  0.071944 
22            TEDbewor not OF bp     0.666667             0.611389                  0.055278 
23            Tlnbewor not OF bp     0.666667             0.620556                  0.046111 
24            TEObesor not UF bp     0.666667             0.633333                  0.033333 
25            TSnbewor not KR bp     0.666667             0.639722                  0.026944 
26            TQnbewor not UF bp     0.666667             0.644167                  0.022500 
27            TQnbewor not tR bi     0.722222             0.650278                  0.071944 
28            TSxbewor not QF be     0.722222             0.650833                  0.071389 
29            TgObewor not UF be     0.722222             0.651111                  0.071111 
30            TSxbewor not QR be     0.722222             0.655556                  0.066667 
31            TLnbewor not KR be     0.722222             0.660833                  0.061389 
32            TQxbewor not UI be     0.722222             0.659722                  0.062500 
33            TEDbewor not UF be     0.722222             0.660278                  0.061944 
34            TSxbewor not QF be     0.722222             0.659167                  0.063056 
35            TcDbewor not QF be     0.722222             0.664167                  0.058056 
36            TSnbewor not UF be     0.722222             0.669167                  0.053056 
37            TgObewor not UF be     0.722222             0.677500                  0.044722 
38            TEDbeSor not UF be     0.722222             0.685278                  0.036944 
39            TEDbeSor not tF be     0.777778             0.687778                  0.090000 
40            TExbewor not tF be     0.777778             0.693889                  0.083889 
41            TgObewor not tF be     0.777778             0.700556                  0.077222 
42            TExbewor not tF be     0.777778             0.704167                  0.073611 
43            TOxbewor not tF be     0.777778             0.709444                  0.068333 
44            TExbewor not tF be     0.777778             0.713889                  0.063889 
45            TEDbewor not tF be     0.777778             0.718889                  0.058889 
46            TEDbewor not tF be     0.777778             0.726944                  0.050833 
47            TSxbewor not tF be     0.777778             0.729444                  0.048333 
48            TExbewor not tF be     0.777778             0.735000                  0.042778 
49            TExbewor not tF be     0.777778             0.736944                  0.040833 
50            TS bewor not tF be     0.833333             0.743611                  0.089722 
51            TS bewor not tF be     0.833333             0.749444                  0.083889 
52            TS bewor not tF be     0.833333             0.756389                  0.076944 
53            TS bewor not tF be     0.833333             0.763611                  0.069722 
54            TS bewor not tF be     0.833333             0.766667                  0.066667 
55            TS bewor not tF be     0.833333             0.770556                  0.062778 
56            TE bewor not tF be     0.833333             0.780556                  0.052778 
57            TL bewor not tF be     0.833333             0.790833                  0.042500 
58            TE bewor not tF be     0.833333             0.797222                  0.036111 
59            TS beqor not tF be     0.833333             0.801389                  0.031944 
60            Tn bewor not tF be     0.833333             0.802778                  0.030556 
61            TE bewor not tF be     0.833333             0.811111                  0.022222 
62            TE bewor not tF be     0.833333             0.817500                  0.015833 
63            TS beqor not tI be     0.833333             0.817500                  0.015833 
64            TE beior not tF be     0.833333             0.817222                  0.016111 
65            TS bewor not tF be     0.833333             0.816389                  0.016944 
66            TE bewor not t  be     0.833333             0.813889                  0.019444 
67            TS bewor not tF be     0.833333             0.810833                  0.022500 
68            TS beqor not tF be     0.833333             0.816389                  0.016944 
69            TS bewor not tk be     0.833333             0.815556                  0.017778 
70            TS bewor not tI be     0.833333             0.819722                  0.013611 
71            TS beqor not tF be     0.833333             0.819167                  0.014167 
72            TE bewor not tF be     0.833333             0.818611                  0.014722 
73            TS bewor not tI be     0.833333             0.817778                  0.015556 
74            TS beNor not tF be     0.833333             0.818333                  0.015000 
75            TS bekor not tF be     0.833333             0.819444                  0.013889 
76            TS bewor not tF be     0.833333             0.815556                  0.017778 
77            TM bewor not tF be     0.833333             0.814167                  0.019167 
78            TS bewor not tF be     0.833333             0.818056                  0.015278 
79            TS beDor not tF be     0.833333             0.815556                  0.017778 
80            TS bewor not tF be     0.833333             0.815556                  0.017778 
81            Tp bewor not tc be     0.833333             0.818333                  0.015000 
