Generation 	 MaximumFitness 	 AverageFitness 	 GeneticDiversity 
1          0.137239             0.126817                  0.010422 
2          0.139583             0.127778                  0.011805 
3          0.141967             0.128438                  0.013529 
4          0.141178             0.128997                  0.012181 
5          0.141222             0.129594                  0.011628 
6          0.142072             0.130044                  0.012029 
7          0.142756             0.130823                  0.011933 
8          0.146389             0.131548                  0.014840 
9          0.145822             0.132033                  0.013789 
10          0.146933             0.132616                  0.014317 
11          0.145844             0.133192                  0.012653 
12          0.146533             0.133998                  0.012535 
13          0.148050             0.134831                  0.013219 
14          0.150722             0.135808                  0.014914 
15          0.149478             0.136467                  0.013010 
16          0.155411             0.137351                  0.018060 
17          0.153522             0.138066                  0.015456 
18          0.154906             0.138751                  0.016155 
19          0.157317             0.139913                  0.017404 
20          0.155839             0.140708                  0.015131 
21          0.156711             0.141660                  0.015051 
22          0.158661             0.142597                  0.016064 
23          0.158883             0.143358                  0.015526 
24          0.161483             0.144606                  0.016878 
25          0.160722             0.145572                  0.015150 
26          0.164339             0.146334                  0.018005 
27          0.165511             0.147580                  0.017932 
28          0.166578             0.148860                  0.017717 
29          0.165489             0.150278                  0.015211 
30          0.167150             0.151356                  0.015794 
31          0.176878             0.152653                  0.024225 
32          0.171367             0.154143                  0.017224 
33          0.175461             0.155604                  0.019857 
34          0.172839             0.156770                  0.016068 
35          0.179294             0.157878                  0.021416 
36          0.175811             0.159031                  0.016780 
37          0.179083             0.160130                  0.018954 
38          0.180083             0.161620                  0.018463 
39          0.182728             0.163265                  0.019463 
40          0.185761             0.164640                  0.021121 
41          0.186689             0.166162                  0.020527 
42          0.188467             0.167027                  0.021440 
43          0.190483             0.168718                  0.021765 
44          0.191889             0.169823                  0.022066 
45          0.193411             0.171313                  0.022099 
46          0.194728             0.172792                  0.021936 
47          0.195594             0.173816                  0.021778 
48          0.195289             0.175610                  0.019679 
49          0.194422             0.176843                  0.017579 
50          0.199878             0.178411                  0.021467 
51          0.205100             0.179672                  0.025428 
52          0.199011             0.180650                  0.018362 
53          0.201339             0.182193                  0.019145 
54          0.202356             0.183514                  0.018841 
55          0.203756             0.184700                  0.019056 
56          0.207078             0.186142                  0.020935 
57          0.213978             0.187510                  0.026468 
58          0.210911             0.188983                  0.021929 
59          0.210100             0.190401                  0.019699 
60          0.219583             0.192138                  0.027446 
61          0.219433             0.193264                  0.026169 
62          0.217328             0.194524                  0.022804 
63          0.215822             0.195475                  0.020347 
64          0.217472             0.196926                  0.020547 
65          0.218550             0.198250                  0.020300 
66          0.220811             0.199968                  0.020843 
67          0.223600             0.201691                  0.021909 
68          0.225800             0.203092                  0.022708 
69          0.230022             0.204507                  0.025515 
70          0.227161             0.206048                  0.021113 
71          0.229833             0.207400                  0.022433 
72          0.229056             0.208499                  0.020556 
73          0.230406             0.209626                  0.020780 
74          0.235478             0.211160                  0.024318 
75          0.234278             0.212240                  0.022038 
76          0.236533             0.213636                  0.022897 
77          0.236794             0.214701                  0.022094 
78          0.238111             0.216291                  0.021820 
79          0.243978             0.217650                  0.026328 
80          0.242794             0.218797                  0.023998 
81          0.242494             0.219976                  0.022519 
82          0.242950             0.220928                  0.022022 
83          0.243433             0.222366                  0.021067 
84          0.244400             0.223397                  0.021003 
85          0.246833             0.224944                  0.021890 
86          0.251850             0.226131                  0.025719 
87          0.251161             0.227076                  0.024085 
88          0.251939             0.228423                  0.023516 
89          0.251467             0.229622                  0.021845 
90          0.254006             0.231101                  0.022905 
91          0.254494             0.232395                  0.022099 
92          0.254239             0.233579                  0.020660 
93          0.255361             0.234716                  0.020645 
94          0.256056             0.235673                  0.020383 
95          0.258689             0.236383                  0.022305 
96          0.258394             0.237512                  0.020883 
97          0.257078             0.238451                  0.018627 
98          0.260283             0.239715                  0.020568 
99          0.266556             0.240452                  0.026104 
100          0.263356             0.241233                  0.022122 
101          0.265517             0.242624                  0.022893 
102          0.263333             0.243146                  0.020188 
103          0.263994             0.243944                  0.020051 
104          0.266089             0.245356                  0.020733 
105          0.267339             0.246122                  0.021217 
106          0.267267             0.247387                  0.019880 
107          0.268244             0.248402                  0.019842 
108          0.271211             0.249625                  0.021586 
109          0.270672             0.250483                  0.020189 
110          0.271383             0.251501                  0.019882 
111          0.271233             0.252231                  0.019002 
112          0.275972             0.253102                  0.022871 
113          0.278989             0.254217                  0.024772 
114          0.274483             0.254995                  0.019489 
115          0.282317             0.256057                  0.026259 
116          0.281150             0.257007                  0.024143 
117          0.283506             0.257813                  0.025693 
118          0.278767             0.259099                  0.019668 
119          0.279111             0.260367                  0.018744 
120          0.285200             0.261276                  0.023924 
121          0.287600             0.262622                  0.024978 
122          0.282433             0.263283                  0.019150 
123          0.284583             0.264948                  0.019635 
124          0.286417             0.265496                  0.020921 
125          0.285628             0.266332                  0.019295 
126          0.285583             0.267410                  0.018173 
127          0.286089             0.268155                  0.017934 
128          0.289744             0.269202                  0.020543 
129          0.290678             0.270210                  0.020468 
130          0.291878             0.271269                  0.020609 
131          0.291233             0.272256                  0.018977 
132          0.293833             0.273316                  0.020518 
133          0.293217             0.274098                  0.019119 
134          0.293600             0.274834                  0.018766 
135          0.294750             0.275378                  0.019372 
136          0.295522             0.276316                  0.019207 
137          0.298811             0.277730                  0.021081 
138          0.297828             0.278250                  0.019578 
139          0.299244             0.278970                  0.020274 
140          0.307717             0.280340                  0.027376 
141          0.303950             0.281404                  0.022546 
142          0.303017             0.282686                  0.020331 
143          0.302328             0.283339                  0.018989 
144          0.304167             0.284288                  0.019879 
145          0.304689             0.285184                  0.019505 
146          0.306644             0.286042                  0.020603 
147          0.308011             0.287074                  0.020937 
148          0.314178             0.288136                  0.026041 
149          0.307517             0.288842                  0.018674 
150          0.312939             0.289748                  0.023191 
151          0.309133             0.290021                  0.019113 
152          0.311089             0.290823                  0.020265 
153          0.312378             0.291445                  0.020933 
154          0.312189             0.292422                  0.019767 
155          0.313017             0.293422                  0.019594 
156          0.314461             0.294108                  0.020353 
157          0.319794             0.294691                  0.025104 
158          0.320544             0.295453                  0.025091 
159          0.318528             0.296260                  0.022268 
160          0.317372             0.297085                  0.020287 
161          0.319922             0.297975                  0.021947 
162          0.324361             0.299030                  0.025331 
163          0.320578             0.299723                  0.020855 
164          0.319278             0.300048                  0.019230 
165          0.321389             0.301452                  0.019937 
166          0.323306             0.302112                  0.021194 
167          0.324206             0.302622                  0.021584 
168          0.322728             0.303398                  0.019330 
169          0.324306             0.304149                  0.020156 
170          0.324561             0.304995                  0.019566 
171          0.325206             0.305949                  0.019257 
172          0.327678             0.306753                  0.020925 
173          0.327817             0.307805                  0.020011 
174          0.328344             0.308641                  0.019703 
175          0.329139             0.309647                  0.019492 
176          0.333661             0.310310                  0.023351 
177          0.330589             0.311367                  0.019222 
178          0.333983             0.312176                  0.021807 
179          0.334550             0.312907                  0.021643 
180          0.333606             0.313694                  0.019911 
181          0.334517             0.314085                  0.020432 
182          0.335017             0.315177                  0.019840 
183          0.341533             0.316356                  0.025177 
184          0.338183             0.317047                  0.021136 
185          0.341161             0.318082                  0.023079 
186          0.340044             0.318541                  0.021503 
187          0.340461             0.319085                  0.021376 
188          0.341989             0.319986                  0.022003 
189          0.342144             0.320795                  0.021349 
190          0.344689             0.321510                  0.023179 
191          0.344561             0.322776                  0.021785 
192          0.345367             0.324255                  0.021112 
193          0.343628             0.324727                  0.018900 
194          0.344867             0.325694                  0.019173 
195          0.348922             0.326250                  0.022672 
196          0.350183             0.327337                  0.022846 
197          0.347361             0.328328                  0.019034 
198          0.350228             0.329151                  0.021077 
199          0.350139             0.329842                  0.020297 
200          0.352172             0.330197                  0.021975 
201          0.352322             0.331022                  0.021300 
202          0.354917             0.331212                  0.023704 
203          0.352322             0.332206                  0.020116 
204          0.352839             0.333298                  0.019541 
205          0.353706             0.333867                  0.019839 
206          0.352256             0.334037                  0.018218 
207          0.354244             0.334875                  0.019370 
208          0.357544             0.335799                  0.021745 
209          0.363344             0.336843                  0.026502 
210          0.359317             0.337746                  0.021571 
211          0.360517             0.338884                  0.021632 
212          0.363533             0.339872                  0.023661 
213          0.364500             0.340097                  0.024403 
214          0.361911             0.340623                  0.021289 
215          0.365283             0.341232                  0.024052 
216          0.361956             0.342185                  0.019771 
217          0.365367             0.343311                  0.022056 
218          0.365883             0.343444                  0.022439 
219          0.372489             0.344251                  0.028237 
220          0.379089             0.345229                  0.033860 
221          0.369556             0.345927                  0.023629 
222          0.368133             0.347256                  0.020877 
223          0.368833             0.347652                  0.021181 
224          0.373817             0.348026                  0.025791 
225          0.372761             0.348747                  0.024014 
226          0.373344             0.349442                  0.023903 
227          0.371589             0.350042                  0.021547 
228          0.372022             0.350557                  0.021466 
