Generation 	 MaximumFitness 	 AverageFitness 	 GeneticDiversity 
1          0.155093             0.130350                  0.024742 
2          0.162778             0.132930                  0.029848 
3          0.162685             0.134291                  0.028394 
4          0.164722             0.136612                  0.028111 
5          0.167963             0.138880                  0.029083 
6          0.171296             0.138675                  0.032621 
7          0.169815             0.140814                  0.029001 
8          0.177685             0.143840                  0.033845 
9          0.181667             0.146446                  0.035220 
10          0.195000             0.149625                  0.045375 
11          0.180833             0.153069                  0.027764 
12          0.199907             0.156203                  0.043705 
13          0.206481             0.161324                  0.045158 
14          0.195648             0.165600                  0.030049 
15          0.200648             0.166880                  0.033768 
16          0.199259             0.169275                  0.029984 
17          0.203796             0.171418                  0.032379 
18          0.212130             0.175626                  0.036504 
19          0.206204             0.177703                  0.028501 
20          0.209537             0.180868                  0.028669 
21          0.220648             0.183324                  0.037324 
22          0.228056             0.187130                  0.040926 
23          0.238426             0.189444                  0.048982 
24          0.229352             0.195942                  0.033410 
25          0.236574             0.199160                  0.037414 
26          0.236111             0.202257                  0.033854 
27          0.240093             0.203956                  0.036136 
28          0.245926             0.206537                  0.039388 
29          0.237963             0.207014                  0.030949 
30          0.237685             0.208671                  0.029014 
31          0.241111             0.211953                  0.029158 
32          0.242500             0.215779                  0.026721 
33          0.251481             0.217953                  0.033528 
34          0.252222             0.221850                  0.030372 
35          0.261019             0.225596                  0.035423 
36          0.258889             0.229130                  0.029759 
37          0.267963             0.232770                  0.035193 
38          0.266204             0.235807                  0.030396 
39          0.273241             0.239086                  0.034155 
40          0.278333             0.242501                  0.035832 
41          0.280556             0.246639                  0.033916 
42          0.288426             0.250154                  0.038272 
43          0.288333             0.251459                  0.036874 
44          0.293056             0.256612                  0.036444 
45          0.287963             0.258211                  0.029752 
46          0.306296             0.262209                  0.044087 
47          0.296296             0.265868                  0.030429 
48          0.302500             0.268020                  0.034480 
49          0.297593             0.270275                  0.027318 
50          0.307685             0.273566                  0.034119 
51          0.313611             0.276329                  0.037282 
52          0.310463             0.278681                  0.031782 
53          0.315185             0.280678                  0.034507 
54          0.330926             0.282631                  0.048295 
55          0.322593             0.285598                  0.036994 
56          0.323981             0.288082                  0.035900 
57          0.328796             0.291464                  0.037332 
58          0.329259             0.294372                  0.034887 
59          0.329259             0.298295                  0.030964 
60          0.331296             0.300594                  0.030702 
61          0.339352             0.304175                  0.035176 
62          0.340370             0.306369                  0.034001 
63          0.342778             0.309438                  0.033339 
64          0.345648             0.311296                  0.034352 
65          0.345556             0.315137                  0.030418 
66          0.351204             0.318224                  0.032980 
67          0.353796             0.321863                  0.031933 
68          0.366204             0.327140                  0.039064 
69          0.364722             0.330943                  0.033779 
70          0.373241             0.334195                  0.039046 
71          0.366111             0.337085                  0.029026 
72          0.381574             0.340876                  0.040698 
73          0.384630             0.342328                  0.042301 
74          0.375463             0.344794                  0.030669 
75          0.382685             0.348260                  0.034425 
76          0.396574             0.350120                  0.046454 
77          0.392222             0.353079                  0.039143 
78          0.393611             0.357722                  0.035889 
79          0.397963             0.363323                  0.034640 
80          0.400278             0.366731                  0.033546 
81          0.402500             0.367925                  0.034575 
82          0.404630             0.370008                  0.034622 
83          0.406019             0.373445                  0.032574 
84          0.408241             0.375415                  0.032825 
85          0.404722             0.378232                  0.026490 
86          0.414907             0.381463                  0.033444 
87          0.414444             0.382135                  0.032309 
88          0.414907             0.385522                  0.029385 
89          0.422222             0.387574                  0.034648 
90          0.423056             0.390595                  0.032461 
91          0.422685             0.392059                  0.030626 
92          0.436019             0.392944                  0.043075 
93          0.430093             0.396028                  0.034064 
94          0.433148             0.398371                  0.034777 
95          0.429074             0.399647                  0.029427 
96          0.436389             0.402355                  0.034034 
97          0.436389             0.402628                  0.033761 
98          0.440833             0.404439                  0.036394 
99          0.445185             0.407630                  0.037555 
100          0.448611             0.409741                  0.038870 
101          0.456481             0.412452                  0.044029 
102          0.467500             0.415608                  0.051892 
103          0.468426             0.416242                  0.052184 
104          0.477407             0.419470                  0.057937 
105          0.471759             0.422216                  0.049543 
106          0.460278             0.426614                  0.033664 
107          0.466296             0.427958                  0.038338 
108          0.469074             0.430657                  0.038417 
109          0.475185             0.431446                  0.043739 
110          0.478241             0.434864                  0.043377 
111          0.469630             0.437473                  0.032157 
112          0.483704             0.439994                  0.043709 
113          0.469907             0.440042                  0.029865 
114          0.472222             0.440933                  0.031289 
115          0.482870             0.443349                  0.039522 
116          0.484352             0.447574                  0.036778 
117          0.489167             0.448812                  0.040355 
118          0.479722             0.452150                  0.027572 
